代码,名称,现价,涨跌幅,换手率,量比,买入信号强度,操作建议
600703,三安光电,15.39,3.5%,4.58%,2.95,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
002949,华阳国际,16.06,2.95%,4.99%,2.03,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
600830,香溢融通,9.88,3.67%,4.41%,2.95,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
603466,风语筑,10.38,3.8%,5.01%,1.98,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
002580,圣阳股份,13.22,2.8%,5.69%,2.47,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
600714,金瑞矿业,13.14,4.7%,5.41%,2.83,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
002878,元隆雅图,19.78,4.32%,12.53%,2.26,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
000852,石化机械,7.75,4.03%,9.58%,2.34,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
601086,国芳集团,10.64,2.6%,4.13%,2.05,85%,【积极试错】符合上下翻飞形态，成交量配合理想，建议介入。
002279,久其软件,9.38,3.53%,26.73%,1.92,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
600643,爱建集团,5.66,2.17%,1.61%,1.92,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
600007,中国国贸,19.95,1.68%,0.46%,2.83,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
000159,国际实业,6.6,3.61%,25.72%,4.05,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
000156,华数传媒,8.31,4.53%,2.19%,2.29,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
002911,佛燃能源,12.44,1.3%,1.05%,2.29,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
600521,华海药业,18.6,2.88%,2.93%,1.97,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
603725,天安新材,9.43,0.32%,2.68%,2.55,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
601968,宝钢包装,5.51,3.96%,2.18%,2.4,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
600056,中国医药,10.82,2.66%,1.99%,2.77,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
600373,中文传媒,9.58,2.35%,2.57%,2.26,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
600158,中体产业,8.9,1.6%,2.87%,2.33,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
600229,城市传媒,6.64,2.63%,0.99%,1.93,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
603703,盛洋科技,17.18,3.0%,29.63%,8.24,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
603230,内蒙新华,12.93,1.57%,1.29%,2.02,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
000541,佛山照明,6.32,3.44%,2.71%,2.72,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
002521,齐峰新材,8.45,2.05%,2.63%,2.5,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
603112,华翔股份,17.66,2.73%,2.61%,2.6,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
601952,苏垦农发,9.31,1.2%,1.01%,2.22,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
603693,江苏新能,12.31,1.74%,0.68%,2.01,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
600283,钱江水利,9.65,2.01%,2.91%,2.47,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
600037,歌华有线,7.91,3.67%,2.79%,2.24,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
600223,福瑞达,7.53,1.76%,1.43%,1.91,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
605162,新中港,9.29,4.85%,2.76%,1.93,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
002221,东华能源,8.32,2.59%,1.92%,3.27,80%,【轻仓观察】形态成立但力度稍弱，防守位设在下影线低点。
002292,奥飞娱乐,9.99,5.27%,8.1%,2.13,100%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
002419,天虹股份,6.03,7.1%,9.13%,2.26,100%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
601615,明阳智能,17.89,6.81%,10.35%,2.85,100%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
002649,博彦科技,14.41,7.7%,9.56%,3.96,100%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
601226,华电科工,8.93,6.82%,7.31%,3.26,100%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
600784,鲁银投资,7.96,9.94%,4.97%,2.08,100%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
000050,深天马Ａ,10.25,7.11%,6.1%,2.54,100%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
600728,佳都科技,7.15,6.24%,8.49%,2.91,100%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
002729,好利科技,17.94,9.99%,7.58%,2.12,100%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
002706,良信股份,11.77,5.75%,7.14%,2.1,100%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
002712,思美传媒,6.5,8.15%,11.67%,2.35,100%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
000676,智度股份,9.46,6.17%,8.83%,2.31,100%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
603116,红蜻蜓,6.79,7.61%,5.79%,2.04,100%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
600814,杭州解百,8.47,5.61%,4.75%,2.16,100%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
600133,东湖高新,10.66,9.9%,12.97%,2.04,100%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
603108,润达医疗,17.94,9.99%,14.02%,2.24,100%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
002416,爱施德,13.64,6.15%,6.6%,1.92,100%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
002243,力合科创,11.41,6.74%,6.54%,2.31,100%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
000950,重药控股,6.31,5.87%,6.64%,3.22,100%,【重仓突击】主力洗盘彻底，倍量突破确认，预计主升浪开启。
