代码,名称,现价,涨跌幅,RSI14,量能,强度,实战复盘建议
002333,罗普斯金,6.04,0.17%,73.91,缩量蓄势,85%,【精选观察】缩量蓄势阶段，建议根据分时图择机轻仓入场。
600728,佳都科技,7.15,6.24%,76.63,倍量进攻,85%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
603269,海鸥股份,13.6,-0.8%,62.86,缩量蓄势,85%,【精选观察】缩量蓄势阶段，建议根据分时图择机轻仓入场。
601086,国芳集团,10.64,2.6%,55.7,倍量进攻,85%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
001219,青岛食品,14.69,3.23%,55.9,倍量进攻,85%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
601226,华电科工,8.93,6.82%,76.5,倍量进攻,85%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
000852,石化机械,7.75,4.03%,78.91,倍量进攻,85%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
603928,兴业股份,17.51,0.06%,74.34,缩量蓄势,85%,【精选观察】缩量蓄势阶段，建议根据分时图择机轻仓入场。
603161,科华控股,14.17,2.09%,75.68,倍量进攻,85%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
603356,华菱精工,15.94,3.44%,71.72,缩量蓄势,85%,【精选观察】缩量蓄势阶段，建议根据分时图择机轻仓入场。
002575,群兴玩具,6.47,3.03%,54.0,倍量进攻,85%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
600571,信雅达,16.61,3.75%,77.16,倍量进攻,85%,【精选观察】倍量进攻阶段，建议根据分时图择机轻仓入场。
002292,奥飞娱乐,9.99,5.27%,72.64,倍量进攻,100%,【一击必中】RSI动能强劲且形态完美，建议重仓博弈。
600714,金瑞矿业,13.14,4.7%,75.0,倍量进攻,100%,【一击必中】RSI动能强劲且形态完美，建议重仓博弈。
601789,宁波建工,5.27,2.93%,73.49,倍量进攻,100%,【一击必中】RSI动能强劲且形态完美，建议重仓博弈。
000020,深华发Ａ,14.82,-0.27%,61.14,倍量进攻,100%,【一击必中】RSI动能强劲且形态完美，建议重仓博弈。
600354,敦煌种业,6.72,2.6%,62.07,倍量进攻,100%,【一击必中】RSI动能强劲且形态完美，建议重仓博弈。
000006,深振业Ａ,10.15,2.32%,65.15,倍量进攻,100%,【一击必中】RSI动能强劲且形态完美，建议重仓博弈。
603300,海南华铁,8.05,4.01%,69.75,倍量进攻,100%,【一击必中】RSI动能强劲且形态完美，建议重仓博弈。
002674,兴业科技,14.54,2.25%,61.86,倍量进攻,100%,【一击必中】RSI动能强劲且形态完美，建议重仓博弈。
600830,香溢融通,9.88,3.67%,70.33,倍量进攻,100%,【一击必中】RSI动能强劲且形态完美，建议重仓博弈。
002723,小崧股份,8.99,4.53%,61.18,倍量进攻,100%,【一击必中】RSI动能强劲且形态完美，建议重仓博弈。
600789,鲁抗医药,9.38,1.19%,67.09,倍量进攻,100%,【一击必中】RSI动能强劲且形态完美，建议重仓博弈。
000531,穗恒运Ａ,6.87,3.31%,71.96,倍量进攻,100%,【一击必中】RSI动能强劲且形态完美，建议重仓博弈。
603739,蔚蓝生物,15.3,4.79%,69.74,倍量进攻,100%,【一击必中】RSI动能强劲且形态完美，建议重仓博弈。
600630,龙头股份,9.48,2.05%,63.29,倍量进攻,100%,【一击必中】RSI动能强劲且形态完美，建议重仓博弈。
603729,龙韵股份,16.92,4.44%,69.64,倍量进攻,100%,【一击必中】RSI动能强劲且形态完美，建议重仓博弈。
603116,红蜻蜓,6.79,7.61%,72.8,倍量进攻,100%,【一击必中】RSI动能强劲且形态完美，建议重仓博弈。
002243,力合科创,11.41,6.74%,74.78,倍量进攻,100%,【一击必中】RSI动能强劲且形态完美，建议重仓博弈。
001216,华瓷股份,17.88,2.11%,68.95,倍量进攻,100%,【一击必中】RSI动能强劲且形态完美，建议重仓博弈。
